BemaniBeats 4/Who Done It/Who Done It.sm	Who Done It?!	Sudzi781	Sudzi781	Challenge	12	628	0	0	0	0	0	0	0	0	0	0	
BemaniBeats 5/A Dream Viewing Machine/dream.sm	キカイノミルユメ	ITGAlex	ITGAlex	Challenge	10	413	8	1	4	0	0	0.01937046005	0.002421307506	0.009685230024	0	0	
BemaniBeats 5/Amazing Mirage/Amazing Mirage.sm	Amazing Mirage	ATB	ATB & D.Vogan	Challenge	12	724	25	3	46	0	0	0.03453038674	0.004143646409	0.0635359116	0	0	
BemaniBeats 5/Angelic Jelly/angelic.sm	Angelic Jelly	ITGAlex	ITGAlex	Challenge	13	723	34	5	13	0	0	0.04702627939	0.006915629322	0.01798063624	0	0	
BemaniBeats 5/Angelic Jelly/angelic.sm	Angelic Jelly	ITGAlex	ITGAlex (easier ending)	Hard	13	751	41	5	13	0	0	0.05459387483	0.006657789614	0.017310253	0	0	
BemaniBeats 5/Arcana/Arcana.sm	Arcana	D.Vogan	D.Vogan	Challenge	10	573	13	26	22	0	0	0.02268760908	0.04537521815	0.03839441536	0	0	
BemaniBeats 5/Astrogazer/Astrogazer.sm	Astrogazer	ATB	ATB	Challenge	12	626	24	0	39	0	0	0.03833865815	0	0.06230031949	0	0	
BemaniBeats 5/Astrogazer/Astrogazer.sm	Astrogazer	ATB	ATB (no 24ths)	Hard	11	599	24	0	38	0	0	0.04006677796	0	0.06343906511	0	0	
BemaniBeats 5/beyond nirvana/steps.sm	不可説不可説転	Little Matt	Little Matt	Challenge	12	639	17	20	24	0	1	0.02660406886	0.03129890454	0.03755868545	0	0.001564945227	
BemaniBeats 5/Break Over/Break Over.sm	BREAK OVER	ATB	ATB & ITGAlex	Challenge	11	655	16	6	59	0	0	0.02442748092	0.009160305344	0.09007633588	0	0	
BemaniBeats 5/Come to Life/Come to Life.sm	Come to Life	xRGTMx	xRGTMx	Challenge	11	590	19	11	28	0	0	0.03220338983	0.0186440678	0.04745762712	0	0	
BemaniBeats 5/Counterattack of the Cat Samurai/catsamurai.sm	Counterattack of the Cat Samurai	Sudzi781	more drum	Edit	13	775	17	0	6	1	0	0.02193548387	0	0.007741935484	0.001290322581	0	
BemaniBeats 5/Counterattack of the Cat Samurai/catsamurai.sm	Counterattack of the Cat Samurai	Sudzi781	Sudzi781	Challenge	12	620	10	0	6	1	0	0.01612903226	0	0.009677419355	0.001612903226	0	
BemaniBeats 5/Crazy Jackpot/Crazy Jackpot.sm	Crazy Jackpot	xRGTMx	xRGTMx	Challenge	13	748	52	6	58	0	0	0.06951871658	0.008021390374	0.07754010695	0	0	
BemaniBeats 5/Crazy Jackpot/Crazy Jackpot.sm	Crazy Jackpot	xRGTMx	xRGTMx (Original)	Edit	13	748	52	10	79	0	0	0.06951871658	0.01336898396	0.1056149733	0	0	
BemaniBeats 5/cross the future/cross.sm	cross the future	ITGAlex	ITGAlex	Challenge	11	674	26	0	3	0	0	0.03857566766	0	0.004451038576	0	0	
BemaniBeats 5/Dancer in the flare/Dancer in the flare.sm	Dancer in the flare	ATB	ATB	Challenge	10	474	23	1	17	2	0	0.04852320675	0.002109704641	0.0358649789	0.004219409283	0	
BemaniBeats 5/Dancer in the flare/Dancer in the flare.sm	Dancer in the flare	xRGTMx	xRGTMx	Hard	10	418	5	0	5	1	0	0.01196172249	0	0.01196172249	0.002392344498	0	
BemaniBeats 5/DEVIL's Magic/DEVIL's Magic.sm	DEVIL's Magic	D.Vogan	D.Vogan	Challenge	11	662	14	0	22	0	0	0.02114803625	0	0.0332326284	0	0	
BemaniBeats 5/Diamond Crossing/Diamond Crossing.sm	DIAMOND CROSSING	D.Vogan	D.Vogan & Little Matt	Challenge	12	680	6	2	49	0	1	0.008823529412	0.002941176471	0.07205882353	0	0.001470588235	
BemaniBeats 5/disco KAWAii/steps.sm	disco KAWAii	Little Matt	Little Matt	Challenge	11	576	8	3	59	0	0	0.01388888889	0.005208333333	0.1024305556	0	0	
BemaniBeats 5/Dreadnought/Dreadnought.sm	Dreadnought	D.Vogan	D.Vogan	Challenge	12	900	2	0	26	0	0	0.002222222222	0	0.02888888889	0	0	
BemaniBeats 5/Dysnomia/steps.sm	:デュスノミア	ATB	ATB	Challenge	12	700	22	2	44	0	0	0.03142857143	0.002857142857	0.06285714286	0	0	
BemaniBeats 5/El venenciador/steps.sm	:El venenciador	ATB	ATB	Challenge	12	757	35	9	40	0	0	0.04623513871	0.01188903567	0.05284015852	0	0	
BemaniBeats 5/Galacti[x]Discord/galactix.sm	Galacti[x]Discord	ITGAlex	ITGAlex	Challenge	11	658	29	1	32	0	0	0.04407294833	0.001519756839	0.04863221884	0	0	
BemaniBeats 5/Guren/Guren.sm	紅蓮	xRGTMx	xRGTMx	Challenge	12	691	15	4	17	0	1	0.02170767004	0.005788712012	0.02460202605	0	0.001447178003	
BemaniBeats 5/heron/heron.sm	heron	iamchris4life	iamchris4life	Challenge	12	510	5	0	13	0	0	0.009803921569	0	0.02549019608	0	0	
BemaniBeats 5/Interlude Hop/interludehop.sm	Interlude Hop	Maxx-Storm	Maxx-Storm	Challenge	10	494	4	1	19	0	0	0.008097165992	0.002024291498	0.03846153846	0	0	
BemaniBeats 5/Into the Wind/Into the Wind.sm	Into the Wind	D.Vogan	D.Vogan	Challenge	10	636	17	0	31	0	0	0.02672955975	0	0.04874213836	0	0	
BemaniBeats 5/Jet World (Ryu Remix)/jetworld.sm	JET WORLD	iamchris4life	iamchris4life	Challenge	11	658	0	4	55	0	0	0	0.006079027356	0.08358662614	0	0	
BemaniBeats 5/Lovesick Lovetune/steps.sm	Lovesick Lovetune	Little Matt	Little Matt	Challenge	10	517	19	7	72	0	2	0.03675048356	0.01353965184	0.1392649903	0	0.003868471954	
BemaniBeats 5/m1dy Dynamic/m1dy Dynamic.sm	m1dy Dynamic	D.Vogan	D.Vogan	Challenge	12	662	7	10	34	0	1	0.01057401813	0.01510574018	0.05135951662	0	0.001510574018	
BemaniBeats 5/Megalara Garuda/Megalara Garuda.sm	Megalara Garuda	Sudzi781	Sudzi781 & xRGTMx	Challenge	12	674	8	2	16	0	0	0.0118694362	0.00296735905	0.0237388724	0	0	
BemaniBeats 5/Mind Meaning/steps.sm	Mind Meaning	ATB	ATB	Challenge	10	625	39	1	34	0	0	0.0624	0.0016	0.0544	0	0	
BemaniBeats 5/Musik LoverZ/Musik.sm	Musik LoverZ	Liam	Liam	Challenge	12	705	5	24	34	0	0	0.007092198582	0.03404255319	0.04822695035	0	0	
BemaniBeats 5/Netoge Haijin Sprechchor/netoge.sm	ネトゲ廃人シュプレヒコール	iamchris4life	iamchris4life	Challenge	11	594	19	3	36	0	3	0.03198653199	0.005050505051	0.06060606061	0	0.005050505051	
BemaniBeats 5/New Century -Extended Mix-/New Century -Extended Mix-.sm	New Century	xRGTMx	xRGTMx	Challenge	13	723	44	8	38	0	1	0.06085753804	0.01106500692	0.05255878285	0	0.001383125864	
BemaniBeats 5/Nightmare before oversleep/Nightmare before oversleep.sm	Nightmare before oversleep	xRGTMx	xRGTMx	Challenge	12	665	24	1	6	0	0	0.03609022556	0.001503759398	0.009022556391	0	0	
BemaniBeats 5/Nightmare before oversleep/Nightmare before oversleep.sm	Nightmare before oversleep	xRGTMx	xRGTMx	Hard	10	488	18	6	30	0	1	0.0368852459	0.01229508197	0.06147540984	0	0.002049180328	
